2023-10-09 13:00:11,016 [INFO] - {'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:01:53,815 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:03:07,220 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:05:47,687 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:07:28,249 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:07:34,660 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:07:37,058 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:08:00,788 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:10:36,296 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:11:33,965 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:11:52,994 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:12:00,435 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:12:28,567 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:12:53,665 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
